ayet_numarasi,ayet
Mat.8: 13,"Sonra İsa yüzbaşıya, ""Git, inandığın gibi olsun"" dedi.Ve uşak o anda iyileşti. İsa Birçoklarını İyileştiriyor ("
Mat.8: 14,İsa Petrus'un evine geldiğinde onun kaynanasının ateşler içinde yattığını gördü.
Mat.8: 15,Eline dokununca kadının ateşi düştü. Kadın kalkıp İsa'ya hizmet etmeye başladı.
Mat.8: 16,"Akşam olunca birçok cinliyi kendisine getirdiler. İsa onlardaki kötü ruhları tek sözle kovdu, hastaların hepsini iyileştirdi."
Mat.8: 17,"Bu, Peygamber Yeşaya aracılığıyla bildirilen şu söz yerine gelsin diye oldu:""Zayıflıklarımızı O kaldırdı,Hastalıklarımızı O üstlendi."" İsa'yı İzlemenin Bedeli ("
Mat.8: 18,"İsa, çevresindeki kalabalığı görünce gölün karşı yakasına geçilmesini buyurdu."
Mat.8: 19,"O sırada din bilginlerinden biri O'na yaklaşıp, ""Öğretmenim"" dedi,""Nereye gidersen, senin ardından geleceğim."""
Mat.8: 20,"İsa ona, ""Tilkilerin ini, kuşların yuvası var, ama İnsanoğlu'nun başını yaslayacak bir yeri yok"" dedi."
Mat.8: 21,"Başka bir öğrencisi İsa'ya, ""Ya Rab, izin ver, önce gidip babamı gömeyim"" dedi."
Mat.8: 22,"İsa ona, ""Ardımdan gel"" dedi. ""Bırak ölüleri, kendi ölülerini kendileri gömsün."" İsa Fırtınayı Dindiriyor ("
Mat.8: 23,"İsa tekneye binince, ardından öğrencileri de bindi."
Mat.8: 24,"Gölde ansızın büyük bir fırtına koptu. Öyle ki, dalgalar teknenin üzerinden aşıyordu. İsa bu arada uyuyordu."
Mat.8: 25,"Öğrenciler gidip O'nu uyandırarak, ""Ya Rab, kurtar bizi, yoksa öleceğiz!"" dediler."
Mat.8: 26,"İsa, ""Neden korkuyorsunuz, ey kıt imanlılar?"" dedi. Sonra kalkıp rüzgarı ve gölü azarladı. Ortalık sütliman oldu."
Mat.8: 27,"Hepsi hayret içinde kaldı. ""Bu nasıl bir adam ki, rüzgar da göl de O'nun sözünü dinliyor?"" dediler. İki Cinlinin İyileştirilmesi ("
Mat.8: 28,"İsa gölün karşı yakasında Gadaralılar'ın memleketine vardı. Orada O'nu mezarlık mağaralardan çıkan iki cinli karşıladı. Bunlar öyle tehlikeliydi ki,kimse o yoldan geçemiyordu."
Mat.8: 29,"İsa'ya, ""Ey Tanrı'nın Oğlu, bizden ne istiyorsun?"" diye bağırdılar.""Buraya, vaktinden önce bize işkence etmek için mi geldin?"""
Mat.8: 30,Onlardan uzakta otlayan büyük bir domuz sürüsü vardı.
Mat.8: 31,"Cinler İsa'ya, ""Bizi kovacaksan, şu domuz sürüsüne gönder"" diye yalvardılar."
Mat.8: 32,"İsa onlara, ""Gidin!"" dedi. Cinler de adamlardan çıkıp domuzların içine girdiler. O anda bütün sürü dik yamaçtan aşağı koşuşarak göle atlayıp boğuldu."
Mat.8: 33,"Domuzları güdenler kaçıp kente gittiler. Cinli adamlarla ilgili haberler dahil, olup bitenlerin hepsini anlattılar."
Mat.8: 34,Bunun üzerine bütün kent halkı İsa'yı karşılamaya çıktı. O'nu görünce bölgelerinden ayrılması için yalvardılar.  BÖLÜM 9 Bir Felçlinin İyileştirilmesi (
Mat.9: 1,İsa tekneye binip karşı kıyıya geçti ve kendi kentine gitti.
Mat.9: 2,"Kendisine, yatak üzerinde felçli bir adam getirdiler. İsa onların imanını görünce felçliye, ""Cesur ol, oğlum, günahların bağışlandı"" dedi."
Mat.9: 3,"Bunun üzerine bazı din bilginleri içlerinden, ""Bu adam Tanrı'ya küfrediyor!"" dediler."
Mat.9: 4,"Onların ne düşündüklerini bilen İsa dedi ki, ""Yüreğinizde neden kötü düşüncelere yer veriyorsunuz?"
Mat.9: 5,"Hangisi daha kolay? 'Günahların bağışlandı' demek mi, yoksa 'Kalk, yürü' demek mi?"
Mat.9: 6,"Ne var ki, İnsanoğlu'nun yeryüzünde günahları bağışlama yetkisine sahipolduğunu bilesiniz diye..."" Sonra felçliye, ""Kalk, yatağını topla, evine git!"" dedi."
Mat.9: 7,Adam da kalkıp evine gitti.
Mat.9: 8,Halk bunu görünce korkuya kapıldı. İnsana böyle bir yetki veren Tanrı'yı yücelttiler. Matta'nın Öğrencilere Katılması (
Mat.9: 9,"İsa oradan geçerken, vergi toplama yerinde oturan birini gördü. Matta adındaki bu adama, ""Ardımdan gel"" dedi. Adam da kalkıp İsa'nın ardından gitti."
Mat.9: 10,"Sonra İsa, Matta'nın evinde sofrada otururken, birçok vergi görevlisiyle günahkâr gelip O'nunla ve öğrencileriyle birlikte sofraya oturdu."
Mat.9: 11,"Bunu gören Ferisiler, İsa'nın öğrencilerine, ""Sizin öğretmeniniz neden vergi görevlileri ve günahkârlarla birlikte yemek yiyor?"" diye sordular."
Mat.9: 12,"İsa bunu duyunca şöyle dedi: ""Sağlamların değil, hastaların hekime ihtiyacı var."
Mat.9: 13,"Gidin de, 'Ben kurban değil, merhamet isterim' sözünün anlamını öğrenin. Çünkü ben doğru kişileri değil, günahkârları çağırmaya geldim."" Oruçla İlgili Soru ("
Mat.9: 14,"Bu arada Yahya'nın öğrencileri gelip İsa'ya, ""Neden biz ve Ferisiler oruç tutuyoruz da senin öğrencilerin tutmuyor?"" diye sordular."
Mat.9: 15,"İsa şöyle karşılık verdi: ""Güvey aralarındayken, davetliler yas tutar mı? Ama güveyin aralarından alınacağı günler gelecek, o zaman oruç tutacaklar."
Mat.9: 16,"Hiç kimse eski giysiyi yeni kumaş parçasıyla yamamaz. Çünkü yeni kumaş çeker, giysiden kopar, yırtık daha beter olur."
Mat.9: 17,"Hiç kimse yeni şarabı eski tulumlara doldurmaz. Yoksa tulumlar patlar; hem şarap dökülür, hem de tulumlar mahvolur. Yeni şarap yeni tulumlara konur,böylece her ikisi de korunmuş olur."" Dirilen Kız, İyileşen Kadın ("
Mat.9: 18,"İsa onlara bu sözleri söylerken bir havra yöneticisi gelip O'nun önünde yere kapanarak, ""Kızım az önce öldü. Ama sen gelip elini onun üzerine koyarsan, dirilecek"" dedi."
Mat.9: 19,İsa kalkıp öğrencileriyle birlikte adamın ardından gitti.
Mat.9: 20,"Tam o sırada, on iki yıldır kanaması olan bir kadın İsa'nın arkasından yetişip giysisinin eteğine dokundu."
Mat.9: 21,"İçinden, ""Giysisine bir dokunsam kurtulurum"" diyordu."
Mat.9: 22,"İsa arkasına dönüp onu görünce, ""Cesur ol, kızım! İmanın seni kurtardı"" dedi. Ve kadın o anda iyileşti."
Mat.9: 23-24,"İsa, yöneticinin evine varıp kaval çalanlarla gürültülü kalabalığı görünce, ""Çekilin!"" dedi. ""Kız ölmedi, uyuyor."" Onlar ise kendisiyle alay ettiler."
Mat.9: 25,"Kalabalık dışarı çıkarılınca İsa içeri girip kızın elini tuttu, kız ayağa kalktı."
Mat.9: 26,Bu haber bütün bölgeye yayıldı. İki Körle Bir Dilsizin İyileştirilmesi
Mat.9: 27,"İsa oradan ayrılırken iki kör, ""Ey Davut Oğlu, halimize acı!"" diye feryat ederek O'nun ardından gittiler."
Mat.9: 28,"İsa eve girince körler yanına geldi. Onlara, ""İstediğinizi yapabileceğime inanıyor musunuz?"" diye sordu. Körler, ""İnanıyoruz, ya Rab!"" dediler."
Mat.9: 29,"Bunun üzerine İsa körlerin gözlerine dokunarak, ""İmanınıza göre olsun"" dedi."
Mat.9: 30,"Ve adamların gözleri açıldı İsa, ""Sakın kimse bunu bilmesin"" diyerek onları sıkı sıkı uyardı."
Mat.9: 31,Onlar ise çıkıp İsa'yla ilgili haberi bütün bölgeye yaydılar.
Mat.9: 32,Adamlar çıkarken İsa'ya dilsiz bir cinli getirdiler.
Mat.9: 33,"Cin kovulunca adamın dili çözüldü. Halk hayret içinde, ""İsrail'de böylesi hiç görülmemiştir"" diyordu."
Mat.9: 34,"Ferisiler ise, ""Cinleri, cinlerin önderinin gücüyle kovuyor"" diyorlardı. Ürün Bol, İşçi Az"
Mat.9: 35,"İsa bütün kent ve köyleri dolaşarak havralarda öğretiyor, göksel egemenliğin Müjdesi'ni duyuruyor, her hastalığı, her illeti iyileştiriyordu."
Mat.9: 36,Kalabalıkları görünce onlara acıdı. Çünkü çobansız koyunlar gibi şaşkın ve perişandılar.
Mat.9: 37,"O zaman İsa öğrencilerine, ""Ürün bol, ama işçi az"" dedi,"
Mat.9: 38,"""Bu nedenle ürünün sahibi Rab'be yalvarın, ürününü kaldıracak işçiler göndersin."" BÖLÜM 10 İsa On İki Elçisini Göreve Gönderiyor ("
Mat.10: 1,"İsa on iki öğrencisini yanına çağırıp onlara kötü ruhlar üzerinde yetki verdi. Böylece kötü ruhları kovacak, her hastalığı, her illeti iyileştireceklerdi."
Mat.10: 2-4,"Bu on iki elçinin adları şöyle: Birincisi Petrus adıyla bilinen Simun,onun kardeşi Andreas, Zebedi'nin oğulları Yakup ve Yuhanna, Filipus ve Bartalmay, Tomas ve vergi görevlisi Matta, Alfay oğlu Yakup ve Taday,Yurtsever Simun ve İsa'ya ihanet eden Yahuda İskariot."
Mat.10: 5,"İsa Onikiler'i şu buyrukla halkın arasına gönderdi: ""Öteki ulusların arasına girmeyin. Samiriyeliler'in kentlerine de uğramayın."
Mat.10: 6,"Bunun yerine, İsrail halkının yitik koyunlarına gidin."
Mat.10: 7,Gittiğiniz her yerde Göklerin Egemenliği'nin yaklaştığını duyurun.
Mat.10: 8,"Hastaları iyileştirin, ölüleri diriltin, cüzamlıları temiz kılın,cinleri kovun. Karşılıksız aldınız, karşılıksız verin."
Mat.10: 9,"Kuşağınıza altın, gümüş, ya da bakır para koymayın."
Mat.10: 10,"Yolculuk için ne torba, ne yedek mintan, ne çarık, ne de değnek alın.Çünkü işçi yiyeceğini hak eder."
Mat.10: 11,"Hangi kent ya da köye girerseniz, orada saygıdeğer birini arayın ve ayrılıncaya dek onunla kalın."
Mat.10: 12,"Onun evine girerken, evdekilere esenlik dileyin."
Mat.10: 13,"Eğer evdekiler buna layıksa, dilediğiniz esenlik üzerlerinde kalsın; layık değillerse, size geri dönsün."
Mat.10: 14,"Sizi kabul etmez, sözlerinizi dinlemezlerse o evden ya da kentten ayrılırken, ayaklarınızın tozunu silkin."
Mat.10: 15,"Size doğrusunu söyleyeyim, yargı günü o kentin hali Sodom'la Gomora bölgesinin halinden beter olacaktır."" Gelecekteki Sıkıntılar ("
Mat.10: 16,"""İşte, sizi koyunlar gibi kurtların arasına gönderiyorum. Yılan gibi zeki, güvercin gibi saf olun."
Mat.10: 17,"İnsanlardan sakının. Çünkü sizi mahkemelere verecek, havralarında kamçılayacaklar."
Mat.10: 18,"Benden ötürü valilerin, kralların önüne çıkarılacak, böylece onlara ve uluslara tanıklık edeceksiniz."
Mat.10: 19,"Sizleri mahkemeye verdiklerinde, neyi nasıl söyleyeceğinizi düşünerek kaygılanmayın. Ne söyleyeceğiniz o anda size bildirilecek."
Mat.10: 20,"Çünkü konuşan siz değil, aracılığınızla konuşan Babanız'ın Ruhu olacak."
Mat.10: 21,"""Kardeş kardeşi, baba çocuğunu ölüme teslim edecek. Çocuklar anne babaya başkaldırıp onları öldürtecek. Mat.10: :22 Benim adımdan ötürü herkes sizden nefret edecek. Ama sonuna kadar dayanan kurtulacaktır."
Mat.10: 23,"Bir kentte size zulmettikleri zaman ötekine kaçın. Size doğrusunu söyleyeyim, İnsanoğlu gelinceye dek İsrail'in bütün kentlerini dolaşmışolmayacaksınız."
Mat.10: 24,"""Öğrenci öğretmeninden, köle efendisinden üstün değildir."
Mat.10: 25,"Öğrencinin öğretmeni gibi, kölenin de efendisi gibi olması yeterlidir.İnsanlar evin efendisine Baalzevul derlerse, ev halkına neler demezler!"" Kimden Korkmalı ("
Mat.10: 26,"""Bu yüzden onlardan korkmayın. Çünkü örtülü olup da açığa çıkarılmayacak, gizli olup da bilinmeyecek hiçbir şey yoktur."
Mat.10: 27,"Size karanlıkta söylediklerimi, siz gün ışığında söyleyin. Kulağınıza fısıldananı, damlardan duyurun."
Mat.10: 28,"Bedeni öldüren, ama canı öldüremeyenlerden korkmayın.  Canı da bedeni de cehennemde mahvedebilen Tanrı'dan korkun."
Mat.10: 29,İki serçe bir meteliğe satılmıyor mu? Ama Babanız'ın izni olmadan bunlardan bir teki bile yere düşmez.
Mat.10: 30,"Size gelince, başınızdaki bütün saçlar bile sayılıdır."
Mat.10: 31,"Onun için korkmayın, siz birçok serçeden daha değerlisiniz."
Mat.10: 32,"""İnsanların önünde beni açıkça kabul eden herkesi, ben de göklerdeki Babam'ın önünde açıkça kabul edeceğim."
Mat.10: 33,"İnsanların önünde beni inkâr edeni, ben de göklerdeki Babam'ın önünde inkâr edeceğim."" İsa'ya Layık Olmak ("
Mat.10: 34,"""Yeryüzüne barış getirmeye geldiğimi sanmayın! Barış değil, kılıç getirmeye geldim."
Mat.10: 35,"Çünkü ben babayla oğulun, anneyle kızın, gelinle kaynananın arasına ayrılık sokmaya geldim."
Mat.10: 36,'İnsanın düşmanı kendi ev halkı olacak.'
Mat.10: 37,Annesini ya da babasını beni sevdiğinden çok seven bana layık değildir. Oğlunu ya da kızını beni sevdiğinden çok seven bana layık değildir.
Mat.10: 38,Çarmıhını yüklenip ardımdan gelmeyen bana layık değildir.
Mat.10: 39,Canını kurtaran onu yitirecek. Canını benim uğruma yitiren ise onu kurtaracaktır.
Mat.10: 40,"""Sizi kabul eden beni kabul etmiş olur. Beni kabul eden de beni göndereni kabul etmiş olur."
Mat.10: 41,"Bir peygamberi peygamber olduğu için kabul eden, peygambere yaraşan bir ödül alacaktır. Doğru birini doğru olduğu için kabul eden, doğru kişiye yaraşan bir ödül alacaktır."
Mat.10: 42,"Bu sıradan kişilerden birine, öğrencim olduğu için bir bardak soğuk su bile veren, size doğrusunu söyleyeyim, ödülsüz kalmayacaktır."" BÖLÜM 11 İsa ve Vaftizci Yahya ("
Mat.11: 1,"İsa, on iki öğrencisine bu buyrukları verdikten sonra onların kentlerinde öğretmek ve Tanrı sözünü duyurmak üzere oradan ayrıldı."
Mat.11: 2-3,"Tutukevinde bulunan Yahya, Mesih'in yaptığı işleri duyunca, O'na gönderdiği öğrencileri aracılığıyla şunu sordu: ""Gelecek Olan sen misin, yoksa başkasını mı bekleyelim?"""
Mat.11: 4,"İsa onlara şöyle karşılık verdi: ""Gidin, işitip gördüklerinizi Yahya'ya bildirin."
Mat.11: 5,"Körlerin gözleri açılıyor, kötürümler yürüyor, cüzamlılar temiz kılınıyor, sağırlar işitiyor, ölüler diriliyor ve Müjde yoksullara duyuruluyor."
Mat.11: 6,"Benden ötürü sendeleyip düşmeyene ne mutlu!"""
Mat.11: 7,"Yahya'nın öğrencileri ayrılırken İsa halka Yahya'dan söz etmeye başladı. ""Çöle ne görmeye gittiniz?"" dedi. ""Rüzgarda sallanan bir kamış mı?"
Mat.11: 8,"Söyleyin, ne görmeye gittiniz? Pahalı giysiler giymiş bir adam mı? Oysa pahalı giysi giyenler, kral saraylarında bulunur."
Mat.11: 9,"Öyleyse ne görmeye gittiniz? Bir peygamber mi? Evet! Size şunu söyleyeyim, gördüğünüz kişi peygamberden de üstündür."
Mat.11: 10,"'İşte, habercimi senin önünden gönderiyorum; O önden gidip senin yolunu hazırlayacak' diye yazılmış olan sözler onunla ilgilidir."
Mat.11: 11,"Size doğrusunu söyleyeyim, kadından doğanlar arasında Vaftizci Yahya'dan daha üstün biri çıkmamıştır. Bununla birlikte, Göklerin Egemenliği'nde en küçük olan ondan üstündür."
Mat.11: 12,"Vaftizci Yahya'nın ortaya çıktığı günden bu yana Göklerin Egemenliği zorlanıyor, zorlu kişiler onu ele geçirmeye çalışıyor ."
Mat.11: 13,"Yahya'ya dek bütün peygamberlerle Kutsal Yasa, olacakları önceden bildirdiler."
Mat.11: 14,"Eğer bunu kabul etmek isterseniz, gelecek olan İlyas odur."
Mat.11: 15,"Kulağı olan, işitsin!"
Mat.11: 16-17,"""Bu kuşağın insanlarını neye benzeteyim? Çarşı meydanlarında oturup arkadaşlarına, 'Size kaval çaldık, oynamadınız; Ağıt yaktık, dövünmediniz' diye seslenen çocuklara benziyorlar."
Mat.11: 18,"Yahya geldiği zaman oruç tutup içkiden kaçındı, ona 'cinli' diyorlar."
Mat.11: 19,"İnsanoğlu geldiği zaman yiyip içti. Bu kez de diyorlar ki, 'Şu obur ve ayyaş adama bakın! Vergi görevlileri ve günahkârlarla dost oldu!' Ne var ki bilgelik, ortaya koyduğu işlerle doğrulanır."" Tövbe Etmeyen Kentler ("
Mat.11: 20-21,"Sonra İsa, mucizelerinin çoğunu yapmış olduğu kentleri, tövbe etmedikleri için şöyle azarlamaya başladı: ""Vay haline, ey Horazin! Vay haline, ey Beytsayda!  Sizlerde yapılan mucizeler Sur ve Sayda'da yapılmış olsaydı, çoktan çul kuşanıp kül içinde oturarak tövbe etmiş olurlardı."
Mat.11: 22,"Size şunu söyleyeyim, yargı günü sizin haliniz Sur ve Sayda'nın halinden beter olacaktır!"
Mat.11: 23,"Ya sen, ey Kefarnahum, göğe mi çıkarılacaksın? Hayır, ölüler diyarına indirileceksin! Çünkü sende yapılan mucizeler Sodom'da yapılmış olsaydı, bugüne dek ayakta kalırdı."
Mat.11: 24,"Sana şunu söyleyeyim, yargı günü senin halin Sodom bölgesinin halinden beter olacaktır!"" Yorgunlara Müjde ("
Mat.11: 25,"İsa bundan sonra şöyle dedi: ""Baba, yerin ve göğün Rabbi! Bu gerçekleri bilge ve akıllı kişilerden gizleyip küçük çocuklara açtığın için sana şükrederim."
Mat.11: 26,"Evet Baba, senin isteğin buydu."
Mat.11: 27,"""Babam her şeyi bana teslim etti. Oğul'u, Baba'dan başka kimse tanımaz. Baba'yı da Oğul'dan ve Oğul'un O'nu tanıtmak istediği kişilerden başkası tanımaz."
Mat.11: 28,"""Ey bütün yorgunlar ve yükü ağır olanlar! Bana gelin, ben size rahat veririm."
Mat.11: 29,"Boyunduruğumu yüklenin, benden öğrenin. Çünkü ben yumuşak huylu, alçakgönüllüyüm. Böylece canlarınız rahata kavuşur."
Mat.11: 30,"Boyunduruğumu taşımak kolay, yüküm hafiftir."" BÖLÜM 12 Şabat Günü Sorunu ("
Mat.12: 1,"O sıralarda, bir Şabat Günü İsa ekinler arasından geçiyordu. Öğrencileri acıkınca başakları koparıp yemeye başladılar."
Mat.12: 2,"Bunu gören Ferisiler İsa'ya, ""Bak, öğrencilerin Şabat Günü yasak olanı yapıyor"" dediler."
Mat.12: 3,"İsa onlara, ""Davut'la yanındakiler acıkınca Davut'un ne yaptığını okumadınız mı?"" diye sordu."
Mat.12: 4,"""Tanrı'nın evine girdi, kendisinin ve yanındakilerin yemesi yasak olan, ancak kâhinlerin yiyebileceği adak ekmeklerini yedi."
Mat.12: 5,Ayrıca kâhinlerin her hafta tapınakta Şabat Günü'yle ilgili buyruğu çiğnedikleri halde suçlu sayılmadıklarını Kutsal Yasa'da okumadınız mı?
Mat.12: 6,"Size şunu söyleyeyim, burada tapınaktan daha üstün bir şey var."
Mat.12: 7,"Eğer siz, 'Ben kurban değil, merhamet isterim' sözünün anlamını bilseydiniz, suçsuzları yargılamazdınız."
Mat.12: 8,"Çünkü İnsanoğlu Şabat Günü'nün de Rabbi'dir."""
Mat.12: 9,İsa oradan ayrılıp onların havrasına gitti.
Mat.12: 10,"Orada eli sakat bir adam vardı. İsa'yı suçlamak amacıyla kendisine, ""Şabat Günü bir hastayı iyileştirmek Kutsal Yasa'ya uygun mudur?"" diye sordular."
Mat.12: 11,"İsa onlara şu karşılığı verdi: ""Hanginizin bir koyunu olur da Şabat Günü çukura düşerse onu tutup çıkarmaz?"
Mat.12: 12,"İnsan koyundan çok daha değerlidir! Demek ki, Şabat Günü iyilik yapmak Yasa'ya uygundur."""
Mat.12: 13,"Sonra adama, ""Elini uzat"" dedi. Adam elini uzattı. Eli öteki gibi yine sapasağlam oluverdi."
Mat.12: 14,"Bunun üzerine Ferisiler dışarı çıktılar, İsa'yı yok etmek için anlaştılar. Tanrı'nın Seçtiği Kul"
Mat.12: 15,İsa bunu bildiği için oradan ayrıldı. Birçok kişi ardından gitti. İsa hepsini iyileştirdi.
Mat.12: 16,Kim olduğunu açıklamamaları için onları uyardı.
Mat.12: 17-18,"Bu, Peygamber Yeşaya aracılığıyla bildirilen şu söz yerine gelsin diye oldu: ""İşte Kulum, O'nu ben seçtim. Gönlümün hoşnut olduğu sevgili Kulum O'dur. Ruhum'u O'nun üzerine koyacağım, O da adaleti uluslara bildirecek."
Mat.12: 19,"Çekişip bağırmayacak, Sokaklarda kimse O'nun sesini duymayacak."
Mat.12: 20,"Ezilmiş kamışı kırmayacak, Tüten fitili söndürmeyecek, Ve sonunda adaleti zafere ulaştıracak."
Mat.12: 21,"Uluslar da O'nun adına umut bağlayacak."" İsa ve Baalzevul ("
Mat.12: 22,"Daha sonra İsa'ya kör ve dilsiz bir cinli getirdiler. İsa adamı iyileştirdi. Adam konuşmaya, görmeye başladı."
Mat.12: 23,"Bütün kalabalık şaşırıp kaldı. ""Bu, Davut'un Oğlu olabilir mi?"" diye soruyorlardı."
Mat.12: 24,"Ferisiler bunu duyunca, ""Bu adam cinleri, ancak cinlerin önderi Baalzevul'un gücüyle kovuyor"" dediler."
Mat.12: 25,"Onların ne düşündüğünü bilen İsa şöyle dedi: ""Kendi içinde bölünen ülke yıkılır. Kendi içinde bölünen kent ya da ev ayakta kalamaz."
Mat.12: 26,"Eğer Şeytan Şeytan'ı kovarsa, kendi içinde bölünmüş demektir. Bu durumda onun egemenliği nasıl ayakta kalabilir?"
Mat.12: 27,"Eğer ben cinleri Baalzevul'un gücüyle kovuyorsam, sizin adamlarınız kimin gücüyle kovuyor? Bu durumda sizi kendi adamlarınız yargılayacak."
Mat.12: 28,"Ama ben cinleri Tanrı'nın Ruhu'yla kovuyorsam, Tanrı'nın Egemenliği üzerinize gelmiş demektir."
Mat.12: 29,"""Bir kimse güçlü adamın evine girip malını nasıl çalabilir? Ancak onu bağladıktan sonra evini soyabilir."
Mat.12: 30,"""Benden yana olmayan bana karşıdır. Benimle birlikte toplamayan dağıtıyor demektir."
Mat.12: 31,"Bunun için size diyorum ki, insanların işlediği her günah, ettiği her küfür bağışlanacak; ama Ruh'a edilen küfür bağışlanmayacaktır."
Mat.12: 32,"İnsanoğlu'na karşı bir söz söyleyen, bağışlanacak; ama Kutsal Ruh'a karşı bir söz söyleyen, ne bu çağda, ne de gelecek çağda bağışlanacaktır."
Mat.12: 33,"""Ya ağacı iyi, meyvesini de iyi sayın; ya da ağacı kötü, meyvesini de kötü sayın. Çünkü her ağaç meyvesinden tanınır."
Mat.12: 34,Sizi engerekler soyu! Kötü olan sizler nasıl iyi sözler söyleyebilirsiniz? Çünkü ağız yürekten taşanı söyler.
Mat.12: 35,"İyi insan içindeki iyilik hazinesinden iyilik, kötü insan içindeki kötülük hazinesinden kötülük çıkarır."
Mat.12: 36,"Size şunu söyleyeyim, insanlar söyledikleri her boş söz için yargı günü hesap verecekler."
Mat.12: 37,"Kendi sözlerinizle aklanacak, yine kendi sözlerinizle suçlu çıkarılacaksınız."" Yunus'un Belirtisi ("
Mat.12: 38,"Bunun üzerine bazı din bilginleri ve Ferisiler, ""Öğretmenimiz, senden doğaüstü bir belirti görmek istiyoruz"" dediler."
Mat.12: 39,"İsa onlara şu karşılığı verdi: ""Kötü ve vefasız kuşak bir belirti istiyor! Ama ona Peygamber Yunus'un belirtisinden başka bir belirti gösterilmeyecektir."
Mat.12: 40,"Yunus, nasıl üç gün üç gece o koca balığın karnında kaldıysa, İnsanoğlu da üç gün üç gece yerin bağrında kalacaktır."
Mat.12: 41,"Ninova halkı, yargı günü bu kuşakla birlikte kalkıp bu kuşağı yargılayacak. Çünkü Ninovalılar, Yunus'un çağrısı üzerine tövbe ettiler. Bakın, Yunus'tan daha üstün olan buradadır."
Mat.12: 42,"Güney Kraliçesi, yargı günü bu kuşakla birlikte kalkıp bu kuşağı yargılayacak. Çünkü kraliçe, Süleyman'ın bilgece sözlerini dinlemek için dünyanın ta öbür ucundan gelmişti. Bakın, Süleyman'dan daha üstün olan buradadır."
Mat.12: 43,"""Kötü ruh insandan çıkınca kurak yerlerde dolanıp huzur arar, ama bulamaz."
Mat.12: 44,"O zaman, 'Çıktığım eve, kendi evime döneyim' der. Eve gelince orayı bomboş, süpürülmüş, düzeltilmiş bulur."
Mat.12: 45,"Bunun üzerine gider, yanına kendisinden kötü yedi ruh daha alır ve eve girip yerleşirler. Böylece o kişinin son durumu ilkinden beter olur. Bu kötü kuşağın başına gelecek olan da budur."" İsa'nın Annesi ve Kardeşleri ("
Mat.12: 46,"İsa daha halka konuşurken, annesiyle kardeşleri geldi. Dışarıda durmuş, O'nunla konuşmak istiyorlardı."
Mat.12: 47,"Birisi İsa'ya, ""Bak, annenle kardeşlerin dışarıda duruyor, seninle görüşmek istiyorlar"" dedi."
Mat.12: 48,"İsa, kendisiyle konuşana, ""Kimdir annem, kimdir kardeşlerim?"" karşılığını verdi."
Mat.12: 49,"Eliyle öğrencilerini göstererek, ""İşte annem, işte kardeşlerim!"" dedi."
Mat.12: 50,"""Göklerdeki Babam'ın isteğini kim yerine getirirse, kardeşim, kızkardeşim ve annem odur."" BÖLÜM 13 Tohum Benzetmesi ("
Mat.13: 1,"Aynı gün İsa evden çıktı, gidip göl kıyısında oturdu."
Mat.13: 2,Çevresinde büyük bir kalabalık toplandı. Bu yüzden İsa tekneye binip oturdu. Bütün kalabalık kıyıda duruyordu.
Mat.13: 3,"İsa onlara benzetmelerle birçok şey anlattı. ""Bakın"" dedi, ""Ekincinin biri tohum ekmeye çıktı."
Mat.13: 4,Ektiği tohumlardan kimi yol kenarına düştü. Kuşlar gelip bunları yedi.
Mat.13: 5,"Kimi, toprağı az, kayalık yerlere düştü; toprak derin olmadığından hemen filizlendi."
Mat.13: 6,"Ne var ki, güneş doğunca kavruldular, kök salamadıkları için kuruyup gittiler."
Mat.13: 7,"Kimi, dikenler arasına düştü. Dikenler büyüdü, filizleri boğdu."
Mat.13: 8,"Kimi ise iyi toprağa düştü. Bazısı yüz, bazısı altmış, bazısı da otuz kat ürün verdi."
Mat.13: 9,"Kulağı olan işitsin!"""
Mat.13: 10,"Öğrencileri gelip İsa'ya, ""Halka neden benzetmelerle konuşuyorsun?"" diye sordular."
Mat.13: 11,"İsa şöyle yanıtladı: ""Göklerin Egemenliği'nin sırlarını bilme ayrıcalığı size verildi, ama onlara verilmedi."
Mat.13: 12,"Çünkü kimde varsa, ona daha çok verilecek, bolluğa kavuşturulacak. Ama kimde yoksa, elindeki de alınacak."
Mat.13: 13,"Onlara benzetmelerle konuşmamın nedeni budur. Çünkü, 'Gördükleri halde görmezler, Duydukları halde duymaz ve anlamazlar.'"
Mat.13: 14,"""Böylece Yeşaya'nın peygamberlik sözü onlar için gerçekleşmiş oldu: 'Duyacak duyacak, ama hiç anlamayacaksınız, Bakacak bakacak, ama hiç görmeyeceksiniz!"
Mat.13: 15,"Çünkü bu halkın yüreği duygusuzlaştı, Kulakları ağırlaştı. Gözlerini kapadılar. Öyle ki, gözleri görmesin, Kulakları duymasın, yürekleri anlamasın Ve bana dönmesinler. Dönselerdi, onları iyileştirirdim.'"
Mat.13: 16,"""Ama ne mutlu size ki, gözleriniz görüyor, kulaklarınız işitiyor!"
Mat.13: 17,"Size doğrusunu söyleyeyim, nice peygamberler, nice doğru kişiler sizin gördüklerinizi görmek istediler, ama göremediler. Sizin işittiklerinizi işitmek istediler, ama işitemediler."
Mat.13: 18,"""Şimdi ekinciyle ilgili benzetmeyi siz dinleyin."
